dt_ymd,city_id,order_cnt_sum,order_infos_cnt_sum
20151110,4101,24,24
20151114,4401,1235,1311
20151122,3502,5,5
20151204,4403,2086,2329
20151213,2201,60,66
20151220,4301,38,42
20151221,1302,5,5
20151228,3205,259,292
20160127,2301,56,57
20160130,4101,21,21
20160209,3202,8,8
20160224,4403,800,948
20160303,3701,60,61
20160314,6101,78,86
20160417,4201,144,182
20160425,3302,10,10
20160523,4101,26,26
20160527,4401,508,547
20160531,3202,34,42
20160617,4403,944,1089
20160626,2201,75,88
20160707,6101,112,121
20160818,3302,19,19
20160901,1401,51,55
20160916,4101,24,24
20160924,3202,27,27
20160927,6501,35,35
20160928,3502,25,25
20161029,2301,202,204
20161126,4403,1454,1697
20161205,3701,219,224
20161216,6101,172,174
20170104,1101,35549,37258
20170108,1401,170,172
20170111,3201,560,596
20170214,1301,70,71
20170225,3701,239,239
20170315,3703,1,1
20170320,1201,635,737
20170401,5101,4392,4645
20170402,2102,97,108
20170430,1401,216,220
20170504,3201,656,683
20170511,5301,5,5
20170607,1301,20,20
20170610,3101,9423,9781
20170618,3701,405,412
20170629,6101,145,161
20170708,3703,1,1
20170713,1201,863,1007
20170720,3301,3289,3580
20170810,3303,8,8
20170823,1401,294,295
20170830,3501,49,49
20170904,5301,64,64
20171006,1101,27152,28136
20171013,3201,1026,1084
20171017,3501,66,66
20171020,5301,41,41
20171116,1301,48,48
20171123,3401,207,214
20171127,3701,560,581
20171217,3703,12,12
20171222,1201,2085,2321
20180107,5001,1038,1051
20180110,5105,2,2
20180121,4113,74,74
20180125,4413,193,196
20180127,3503,179,191
20180209,4404,6,6
20180213,3205,479,568
20180215,4415,46,46
20180217,5201,9,9
20180305,4417,196,196
20180307,5203,29,29
20180315,4304,567,570
20180316,1305,7,7
20180323,5101,9138,9334
20180324,2102,632,672
20180405,4306,728,751
20180417,3707,84,84
20180419,1101,58276,60500
20180426,3201,928,968
20180503,5105,2,2
20180507,3709,66,66
20180508,4102,107,107
20180514,4113,320,322
20180516,3203,194,197
20180518,4413,294,304
20180523,3607,270,270
20180523,5303,107,107
20180529,1301,462,471
20180531,4404,67,67
20180602,4601,735,735
20180604,4115,278,280
20180606,3205,757,767
20180608,4415,610,622
20180610,3702,8,8
20180613,3609,87,87
20180618,4302,321,321
20180621,4406,172,173
20180622,1407,4,4
20180624,4313,190,201
20180624,422801,23,23
20180626,3403,3,3
20180629,3310,293,295
20180703,3611,325,330
20180704,2308,8,8
20180708,4304,1074,1148
20180709,1305,610,610
20180709,522401,65,65
20180711,4408,301,301
20180711,6104,354,354
20180716,3405,364,365
20180716,5101,11338,11488
20180717,2102,789,819
20180722,3416,395,395
20180723,2113,13,13
20150303,3101,124,124
20150413,3301,162,166
20150512,1101,2473,2624
20150806,3301,1193,1236
20150905,1101,12270,12955
20150912,3201,601,689
20151021,1101,17751,19195
20151025,1401,3,3
20151102,5001,899,973
20151205,3101,5060,5326
20160119,3201,736,872
20160122,5001,1288,1359
20160225,3101,2760,2938
20160303,3702,16,16
20160328,1201,260,313
20160401,4501,72,72
20160409,5101,1540,1700
20160410,4419,24,37
20160515,5001,644,667
20160618,3101,4205,4537
20160621,3205,64,73
20160728,3301,1778,2100
20160731,5101,1768,1955
20160803,4419,20,26
20160827,1101,16499,17698
20160908,5001,727,761
20161024,5001,649,696
20161028,5301,3,3
20161127,3101,4337,4490
20161130,3205,54,54
20161205,3702,5,5
20170103,4101,24,24
20170107,4401,393,414
20170111,3202,30,30
20170114,6501,91,92
20170115,3502,14,14
