,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat__
21,2018-07-30,62052.45589464895,56476.33716483148,71836.81850392923,62052.45589464895,62052.45589464895,0.0376492713195507,0.0376492713195507,0.0376492713195507,0.0376492713195507,0.0376492713195507,0.0376492713195507,0.0,0.0,0.0,64388.68564267104
22,2018-07-31,62097.85128282388,57448.497017020505,72763.52465060045,62097.85128282388,62097.85128282388,0.04867036619572097,0.04867036619572097,0.04867036619572097,0.04867036619572097,0.04867036619572097,0.04867036619572097,0.0,0.0,0.0,65120.17644472635
23,2018-08-01,62165.89864221432,58126.31824291551,72755.42574344552,62165.89864221432,62165.89864221432,0.05641114458801635,0.05641114458801635,0.05641114458801635,0.05641114458801635,0.05641114458801635,0.05641114458801635,0.0,0.0,0.0,65672.74813896425
24,2018-08-02,62233.94600160476,58961.001507089306,74286.49700912142,62233.94600160476,62233.94600160476,0.07455909948774468,0.07455909948774468,0.07455909948774468,0.07455909948774468,0.07455909948774468,0.07455909948774468,0.0,0.0,0.0,66874.05297305335
25,2018-08-03,62320.17385872367,69019.96646438708,84334.18692032204,62320.17385872367,62320.17385872367,0.22834139759009117,0.22834139759009117,0.22834139759009117,0.22834139759009117,0.22834139759009117,0.22834139759009117,0.0,0.0,0.0,76550.4494556821
26,2018-08-04,62419.74514578153,41229.0625642175,56593.38194116405,62419.74514578153,62419.74514578153,-0.21498169005803958,-0.21498169005803958,-0.21498169005803958,-0.21498169005803958,-0.21498169005803958,-0.21498169005803958,0.0,0.0,0.0,49000.642841349305
27,2018-08-05,62519.31643283939,40362.41435672936,55747.142076306096,62519.31643283939,62519.31643283939,-0.2306495891229967,-0.2306495891229967,-0.2306495891229967,-0.2306495891229967,-0.2306495891229967,-0.2306495891229967,0.0,0.0,0.0,48099.26178535437
28,2018-08-06,62625.724131772324,57333.09116846259,72385.26044319791,62625.724131772324,62625.724131772324,0.03764927131984588,0.03764927131984588,0.03764927131984588,0.03764927131984588,0.03764927131984588,0.03764927131984588,0.0,0.0,0.0,64983.53701121124
29,2018-08-07,62732.13183070525,58202.139690499505,73178.12742200337,62732.13183070525,62732.13183070525,0.048670366195980176,0.048670366195980176,0.048670366195980176,0.048670366195980176,0.048670366195980176,0.048670366195980176,0.0,0.0,0.0,65785.32765916018
30,2018-08-08,62845.77608362675,59058.348486782605,74115.36495017358,62845.77608362675,62845.77608362675,0.05641114458808822,0.05641114458808822,0.05641114458808822,0.05641114458808822,0.05641114458808822,0.05641114458808822,0.0,0.0,0.0,66390.97824503083
