,dt_ymd,city_id,_c2
30683,20170527,2102.0,143
30684,20170527,3302.0,13
30685,20170601,4419.0,54
30686,20170618,1201.0,1149
30687,20170618,4201.0,233
30688,20170626,2102.0,180
30689,20170626,3302.0,10
30690,20170717,1201.0,752
30691,20170717,4201.0,318
30692,20170725,2102.0,139
30693,20170725,3302.0,11
30694,20170731,5105.0,12
30695,20170810,3307.0,5
30696,20170814,3303.0,3
30697,20170816,1201.0,811
30698,20170816,4201.0,520
30699,20170824,2102.0,230
30700,20170824,3302.0,13
30701,20170830,5105.0,5
30702,20170913,3303.0,33
30703,20170915,1201.0,1258
30704,20170915,4201.0,763
30705,20170923,2102.0,253
30706,20170923,3302.0,15
30707,20171003,1302.0,3
30708,20171003,3702.0,20
30709,20171008,3307.0,12
30710,20171011,5203.0,2
30711,20171013,1301.0,30
30712,20171013,3101.0,19758
30713,20171013,3701.0,491
30714,20171013,4301.0,74
30715,20171013,6101.0,269
30716,20171028,5105.0,6
30717,20171031,2201.0,100
30718,20171031,3401.0,146
30719,20171102,1302.0,5
30720,20171102,3702.0,12
30721,20171103,5111.0,1
30722,20171107,3307.0,26
30723,20171112,1301.0,39
30724,20171112,3101.0,13309
30725,20171112,3701.0,515
30726,20171112,4301.0,39
30727,20171112,6101.0,363
30728,20171119,3604.0,6
30729,20171127,5105.0,5
30730,20171130,2201.0,66
30731,20171130,3401.0,138
30732,20171201,1302.0,6
30733,20171201,3702.0,8
30734,20171202,5111.0,2
30735,20171206,3307.0,36
30736,20171211,1301.0,37
30737,20171211,3101.0,22497
30738,20171211,3701.0,482
30739,20171211,4301.0,94
30740,20171211,6101.0,450
30741,20171218,3604.0,20
30742,20171219,4413.0,8
30743,20171224,420607.0,1
30744,20171226,5105.0,5
30745,20171229,4412.0,0
30746,20171231,4419.0,133
30747,20180101,3703.0,3
30748,20180103,2201.0,59
30749,20180103,3401.0,271
30750,20180103,4601.0,12
30751,20180105,4419.0,92
30752,20180109,4415.0,3
30753,20180111,1302.0,9
30754,20180111,3702.0,18
30755,20180112,5111.0,3
30756,20180115,4418.0,0
30757,20180116,3307.0,43
30758,20180118,4205.0,6
30759,20180119,4414.0,24
30760,20180120,4452.0,3
30761,20180121,1301.0,64
30762,20180121,3101.0,16176
30763,20180121,3701.0,214
30764,20180121,4301.0,51
30765,20180121,6101.0,405
30766,20180122,3310.0,74
30767,20180125,4417.0,5
30768,20180126,3306.0,6
30769,20180128,3604.0,6
30770,20180129,4413.0,176
30771,20180130,4451.0,143
30772,20180131,4420.0,16
30773,20180202,2201.0,56
30774,20180202,3401.0,273
30775,20180202,4601.0,186
30776,20180202,5201.0,29
30777,20180204,4419.0,61
30778,20180208,4415.0,81
30779,20180209,3304.0,12
30780,20180210,1302.0,6
30781,20180210,3702.0,85
30782,20180211,5111.0,151
30783,20180214,4418.0,76
30784,20180215,3307.0,25
30785,20180218,4414.0,47
