,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
172,2017-12-29,54922.04063648041,49797.10729179215,80861.58163193567,54922.04063648041,54922.04063648041,0.1865585615223702,0.1865585615223702,0.1865585615223702,0.1865585615223702,0.1865585615223702,0.1865585615223702,0.0,0.0,0.0,65168.21753349535
173,2017-12-30,54848.36237949047,30309.359621629697,61908.701755934446,54848.36237949047,54848.36237949047,-0.16206514049823856,-0.16206514049823856,-0.16206514049823856,-0.16206514049823856,-0.16206514049823856,-0.16206514049823856,0.0,0.0,0.0,45959.354824360045
174,2017-12-31,54774.68412250053,27993.122489871555,57670.11799822909,54774.68412250053,54774.68412250053,-0.2103911699029414,-0.2103911699029414,-0.2103911699029414,-0.2103911699029414,-0.2103911699029414,-0.2103911699029414,0.0,0.0,0.0,43250.57424890357
175,2018-01-01,54701.00586551058,42195.79590087604,71327.43374244946,54701.00586551058,54701.00586551058,0.041023690944003315,0.041023690944003315,0.041023690944003315,0.041023690944003315,0.041023690944003315,0.041023690944003315,0.0,0.0,0.0,56945.043024463404
176,2018-01-02,54627.327608520645,42305.57917913579,73157.37384719489,54627.327608520645,54627.327608520645,0.036759890611907216,0.036759890611907216,0.036759890611907216,0.036759890611907216,0.036759890611907216,0.036759890611907216,0.0,0.0,0.0,56635.42219583069
177,2018-01-03,54553.6493515307,41807.345596546096,72279.11016224069,54553.6493515307,54553.6493515307,0.04359971720751649,0.04359971720751649,0.04359971720751649,0.04359971720751649,0.04359971720751649,0.04359971720751649,0.0,0.0,0.0,56932.17303589545
178,2018-01-04,54479.971013273906,42678.87858645503,72189.63463238045,54479.971013273906,54479.971013273906,0.06451445011528636,0.06451445011528636,0.06451445011528636,0.06451445011528636,0.06451445011528636,0.06451445011528636,0.0,0.0,0.0,57994.71638549201
179,2018-01-05,54406.29267501712,48909.29451288157,78935.19385880296,54406.29267501712,54406.29267501712,0.18655856152219788,0.18655856152219788,0.18655856152219788,0.18655856152219788,0.18655856152219788,0.18655856152219788,0.0,0.0,0.0,64556.252374224
180,2018-01-06,54332.614336760314,30644.620984687645,60640.22201566552,54332.614336760314,54332.614336760314,-0.16206514049803247,-0.16206514049803247,-0.16206514049803247,-0.16206514049803247,-0.16206514049803247,-0.16206514049803247,0.0,0.0,0.0,45527.19156064784
181,2018-01-07,54258.93599850352,28518.186815736597,57961.039381677234,54258.93599850352,54258.93599850352,-0.21039116990283072,-0.21039116990283072,-0.21039116990283072,-0.21039116990283072,-0.21039116990283072,-0.21039116990283072,0.0,0.0,0.0,42843.334976095546
