cd_holiday_ymd.dt_ymd,cd_holiday_ymd.lunar_calendar,cd_holiday_ymd.is_holiday,cd_holiday_ymd.festival,cd_holiday_ymd.is_weekend
20161228,2016年十一月三十,0,null,0
20161229,2016年十二月初一,0,null,0
20161230,2016年十二月初二,0,null,0
20161231,2016年十二月初三,1,null,1
20180101,2017年十一月十五,1,元旦,0
20180102,2017年十一月十六,0,null,0
20180103,2017年十一月十七,0,null,0
20180104,2017年十一月十八,0,null,0
20180105,2017年十一月十九,0,小寒,0
20180106,2017年十一月二十,1,null,1
20180107,2017年十一月廿一,1,null,2
20180108,2017年十一月廿二,0,null,0
20180109,2017年十一月廿三,0,null,0
20180110,2017年十一月廿四,0,null,0
20180111,2017年十一月廿五,0,null,0
20180112,2017年十一月廿六,0,null,0
20180113,2017年十一月廿七,1,null,1
20180114,2017年十一月廿八,1,null,2
20180115,2017年十一月廿九,0,null,0
20180116,2017年十一月三十,0,null,0
20180117,2017年十二月初一,0,null,0
20180118,2017年十二月初二,0,null,0
20180119,2017年十二月初三,0,null,0
20180120,2017年十二月初四,1,大寒,1
20180121,2017年十二月初五,1,null,2
20180122,2017年十二月初六,0,null,0
20180123,2017年十二月初七,0,null,0
20180124,2017年十二月初八,0,腊八节,0
20180125,2017年十二月初九,0,null,0
20180126,2017年十二月初十,0,null,0
20180127,2017年十二月十一,1,null,1
20180128,2017年十二月十二,1,null,2
20180129,2017年十二月十三,0,null,0
20180130,2017年十二月十四,0,null,0
20180131,2017年十二月十五,0,null,0
20180201,2017年十二月十六,0,null,0
20180202,2017年十二月十七,0,null,0
20180203,2017年十二月十八,1,null,1
20180204,2017年十二月十九,1,立春,2
20180205,2017年十二月二十,0,null,0
20180206,2017年十二月廿一,0,null,0
20180207,2017年十二月廿二,0,null,0
20180208,2017年十二月廿三,0,null,0
20180209,2017年十二月廿四,0,小年,0
20180210,2017年十二月廿五,1,null,1
20180211,2017年十二月廿六,0,null,2
20180212,2017年十二月廿七,0,null,0
20180213,2017年十二月廿八,0,null,0
20180214,2017年十二月廿九,0,情人节,0
20180215,2017年十二月三十,1,除夕,0
20180216,2018年正月初一,1,春节,0
20180221,2018年正月初六,1,null,0
20180222,2018年正月初七,0,null,0
20180223,2018年正月初八,0,null,0
20180224,2018年正月初九,0,null,1
20180225,2018年正月初十,1,null,2
20180226,2018年正月十一,0,null,0
20180227,2018年正月十二,0,null,0
20180228,2018年正月十三,0,null,0
20180301,2018年正月十四,0,null,0
20180302,2018年正月十五,0,元宵节,0
20180303,2018年正月十六,1,null,1
20180304,2018年正月十七,1,null,2
