dt_ymd,city_id,_c2
20150321,4401,31
20150321,4403,76
20150321,1101,1235
20150321,3101,177
20150321,5101,128
20150321,3301,97
20150322,4403,59
20150322,4401,31
20150322,3301,70
20150322,3101,124
20150322,5101,88
20150322,1101,846
20150323,4401,48
20150323,3301,110
20150323,4403,87
20150323,3101,202
20150323,1101,978
20150323,5101,146
20150324,3101,219
20150324,4401,33
20150324,1101,960
20150324,5101,138
20150324,4403,52
20150324,3301,126
20150325,3101,234
20150325,3301,117
20150325,4401,50
20150325,1101,1109
20150325,4403,106
20150325,5101,147
20150326,5101,169
20150326,1101,1113
20150326,4403,82
20150326,4401,47
20150326,3301,132
20150326,3101,211
20150327,4403,111
20150327,5101,211
20150327,3301,142
20150327,1101,1690
20150327,3101,307
20150327,4401,57
20150328,1101,1267
20150328,4403,62
20150328,4401,69
20150328,3301,82
20150328,5101,147
20150328,3101,152
20150329,3301,78
20150329,3101,170
20150329,4401,34
20150329,1101,877
20150329,4403,82
20150329,5101,119
20150330,4401,55
20150330,5101,133
20150330,3101,232
20150330,1101,1012
20150330,4403,98
20150330,3301,137
20150331,1101,1310
20150331,3101,202
20150331,4401,49
20150331,4403,115
20150331,3301,124
20150331,5101,147
20150401,5101,143
20150401,4401,52
20150401,3101,228
20150401,1101,1359
20150401,3301,126
20150401,4403,131
20150402,3301,136
20150402,5101,124
20150402,4403,90
20150402,1101,1398
20150402,4401,50
20150402,3101,232
20150403,3101,241
20150403,3301,123
20150403,4403,90
20150403,4401,85
20150403,1101,1701
20150403,5101,131
20150404,4401,27
20150404,3301,83
20150404,4403,56
20150404,1101,1341
20150404,3101,128
20150404,5101,95
20150405,4403,40
20150405,1101,1084
20150405,4401,19
20150405,5101,95
20150405,3301,81
20150405,3101,118
20150406,3301,108
20150406,5101,103
20150406,4401,30
20150406,4403,51
20150406,1101,983
20150406,3101,147
20150407,4403,109
20150407,4401,38
20150407,5101,164
20150407,1101,1084
20150407,3301,166
20150407,3101,288
20150408,4401,40
20150408,4403,82
20150408,3301,178
20150408,5101,137
20150408,1101,1364
20150408,3101,223
20150409,5101,159
20150409,1101,1501
20150409,4403,111
20150409,3101,222
20150409,4401,46
20150409,3301,188
20150410,3301,131
20150410,3101,323
20150410,5101,182
20150410,1101,1808
20150410,4401,66
20150410,4403,110
20150411,1101,1541
20150411,3101,203
20150411,3301,153
20150411,4403,89
20150411,4401,67
20150411,5101,151
20150412,3101,234
20150412,4403,105
20150412,5101,91
20150412,3301,119
20150412,1101,1253
20150412,4401,48
20150413,4403,101
20150413,4401,47
20150413,1101,1387
20150413,3301,160
20150413,3101,279
